FIRST_NAME,LAST_NAME,SPORT,FULL_HOMETOWN,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Victor,Montalvo,Breaking,"Kissimmee, Florida",28.30639,-81.425522,1,place,,,,,Kissimmee,FL,Osceola County,34741,US,TIGER/Line® dataset from the US Census Bureau
Evy ,Leibfarth ,Canoeing,"Bryson City , North Carolina",35.38563,-83.508554,1,place,,,,,Bryson City,NC,Swain County,28713,US,TIGER/Line® dataset from the US Census Bureau
Nevin,Harrison,Canoeing,"Seattle , Washington",47.610902,-122.336422,1,place,,,,,Seattle,WA,King County,98101,US,TIGER/Line® dataset from the US Census Bureau
Aaron ,Small ,Canoeing,"Seattle, Washington ",47.610902,-122.336422,1,place,,,,,Seattle,WA,King County,98101,US,TIGER/Line® dataset from the US Census Bureau
Casey ,Eichfeld ,Canoeing,"Harrisburg , Pensylvania ",40.258655,-76.894376,1,place,,,,,Harrisburg,PA,Dauphin County,17101,US,TIGER/Line® dataset from the US Census Bureau
Jonas ,Ecker ,Canoeing,"Bellingham , Washington ",48.754401,-122.478836,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Alise,Willoughby,Cycling (BMX Racing),"St. Cloud , Minnesota ",45.519196,-94.330619,1,place,,,,,Saint Cloud,MN,Stearns County,56301,US,TIGER/Line® dataset from the US Census Bureau
Chloe,Dygert,Cycling (Road),"Brownsburg, Indiana",39.84338,-86.39777,1,place,,,,,Brownsburg,IN,Hendricks County,46112,US,TIGER/Line® dataset from the US Census Bureau
Daleny ,Vaughn ,Cycling (BMX Racing),"Tucson , Arizona ",32.217975,-110.970869,1,place,,,,,Tucson,AZ,Pima County,85701,US,TIGER/Line® dataset from the US Census Bureau
Felicia,Stancil,Cycling (BMX Racing),"Lake Villa, Illinois",42.381271,-87.999077,1,place,,,,,Lake Villa,IL,Lake County,60046,US,TIGER/Line® dataset from the US Census Bureau
Haley,Batten,Cycling (Mountain Bike),"Park City, Utah",40.652531,-111.501916,1,place,,,,,Park City,UT,Summit County,84060,US,TIGER/Line® dataset from the US Census Bureau
Hannah,Roberts,Cycling (BMX Freestyle),"Buchanan, Michigan",41.841369,-86.429249,1,place,,,,,Buchanan,MI,Berrien County,49107,US,TIGER/Line® dataset from the US Census Bureau
Jennifer,Valente,Cycling (Track Cycling),"San Diego , California ",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Kristen ,Faulkner,Cycling (Track Cycling),"Homer , Alaska ",59.6425,-151.54833,1,place,,,,,Homer,AK,Kenai Peninsula Borough,99603,US,TIGER/Line® dataset from the US Census Bureau
Lily ,Williams,Cycling (Track Cycling),"Tallahassee , Florida",30.427753,-84.258472,1,place,,,,,Tallahassee,FL,Leon County,32301,US,TIGER/Line® dataset from the US Census Bureau
Perris,Benegas,Cycling (BMX Freestyle),"Reno, Nevada",39.525749,-119.813051,1,place,,,,,Reno,NV,Washoe County,89501,US,TIGER/Line® dataset from the US Census Bureau
Riley,Amos,Cycling (Mountain Bike),"Durango, Colorado",37.318364,-107.880367,1,place,,,,,Durango,CO,La Plata County,81301,US,TIGER/Line® dataset from the US Census Bureau
Savilia ,Blunk,Cycling (Mountain Bike),"Inverness, California",38.112571,-122.887717,1,place,,,,,Inverness,CA,Marin County,94937,US,TIGER/Line® dataset from the US Census Bureau
Taylor,Knibb,Cycling (Road),"Washington, DC",38.911936,-77.016719,1,place,,,,,Washington,DC,District of Columbia,20001,US,TIGER/Line® dataset from the US Census Bureau
Olivia ,Cummins,Cycling (Track Cycling),"Fort Collins, Colorado ",40.594597,-105.127416,1,place,,,,,Fort Collins,CO,Larimer County,80521,US,TIGER/Line® dataset from the US Census Bureau
Brandon,McNulty,Cycling (Road),"Phoenix, Arizona",33.703967,-112.351835,1,place,,,,,Phoenix,AZ,Maricopa County,85001,US,TIGER/Line® dataset from the US Census Bureau
Christopher,Blevins,Cycling (Mountain Bike),"Durango, Colorado",37.318364,-107.880367,1,place,,,,,Durango,CO,La Plata County,81301,US,TIGER/Line® dataset from the US Census Bureau
Grant ,Koontz,Cycling (Track Cycling),"Houston , Texas ",29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Justin,Dowell,Cycling (BMX Freestyle),"Virginia Beach, Virginia",36.844004,-76.12036,1,place,,,,,Virginia Beach,VA,Virginia Beach City,23450,US,TIGER/Line® dataset from the US Census Bureau
Kamren ,Larsen,Cycling (BMX Racing),"Bakersfield , California ",35.384337,-119.020562,1,place,,,,,Bakersfield,CA,Kern County,93301,US,TIGER/Line® dataset from the US Census Bureau
Magnus,Sheffield,Cycling (Road),"Pittsford , New York ",43.060229,-77.520692,1,place,,,,,Pittsford,NY,Monroe County,14534,US,TIGER/Line® dataset from the US Census Bureau
Marcus,Christopher,Cycling (BMX Freestyle),"Canton, Ohio",40.79979,-81.375811,1,place,,,,,Canton,OH,Stark County,44702,US,TIGER/Line® dataset from the US Census Bureau
Matteo ,Jorgenson,Cycling (Road),"Boise, Idaho ",43.603768,-116.272921,1,place,,,,,Boise,ID,Ada County,83701,US,TIGER/Line® dataset from the US Census Bureau
Alison,Gibson,Diving,"Austin, Texas",30.268335,-97.741382,1,place,,,,,Austin,TX,Travis County,78701,US,TIGER/Line® dataset from the US Census Bureau
Delaney,Schnell,Diving,"Tucson, Arizona",32.217975,-110.970869,1,place,,,,,Tucson,AZ,Pima County,85701,US,TIGER/Line® dataset from the US Census Bureau
Jessica,Parratto,Diving,"Dover, New Hampshire",43.190666,-70.887661,1,place,,,,,Dover,NH,Strafford County,3820,US,TIGER/Line® dataset from the US Census Bureau
Sarah,Bacon,Diving,"Indianapolis, Indiana",39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Andrew,Capobianco,Diving,"Holly Springs, North Carolina",35.607666,-78.829724,1,place,,,,,Holly Springs,NC,Wake County,27540,US,TIGER/Line® dataset from the US Census Bureau
Carson,Tyler,Diving,"Moultrie, Georgia",31.183438,-83.789698,1,place,,,,,Moultrie,GA,Colquitt County,31768,US,TIGER/Line® dataset from the US Census Bureau
Greg,Duncan,Diving,"Oakton, Virginia",38.892796,-77.329906,1,place,,,,,Oakton,VA,Fairfax County,22124,US,TIGER/Line® dataset from the US Census Bureau
Tyler,Downs,Diving,"Ballwin, Missouri",38.609102,-90.559763,1,place,,,,,Ballwin,MO,St. Louis County,63011,US,TIGER/Line® dataset from the US Census Bureau
Boyd,Martin,Equestrian (Eventing),"Cochranville, Pennslyvania ",39.916517,-75.925805,1,place,,,,,Cochranville,PA,Chester County,19330,US,TIGER/Line® dataset from the US Census Bureau
Will ,Coleman,Equestrian (Eventing),"Gordonsville, Virginia ",38.175906,-78.181467,1,place,,,,,Gordonsville,VA,Orange County,22942,US,TIGER/Line® dataset from the US Census Bureau
Lee,Kiefer,Fencing,"Lexington, Kentucky",38.016674,-84.486043,1,place,,,,,Lexington,KY,Fayette County,40502,US,TIGER/Line® dataset from the US Census Bureau
Anne,Cebula,Fencing,"Brooklyn, New York",40.694481,-73.989319,1,place,,,,,Brooklyn,NY,Kings County,11201,US,TIGER/Line® dataset from the US Census Bureau
Margherita,Guzzi Vincenti,Fencing,"Hartland, Wisconsin",43.123679,-88.336087,1,place,,,,,Hartland,WI,Waukesha County,53029,US,TIGER/Line® dataset from the US Census Bureau
Eli,Dershwitz,Fencing,"Sherborn, Massachusetts",42.23899,-71.36978,1,place,,,,,Sherborn,MA,Middlesex County,1770,US,TIGER/Line® dataset from the US Census Bureau
Nick,Itkin,Fencing,"Los Angeles, California",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Alexander,Massialas,Fencing,"San Francisco, California",37.776646,-122.417481,1,place,,,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Jackie,Dubrovich,Fencing,"Riverdale, New Jersey",40.992647,-74.312443,1,place,,,,,Riverdale,NJ,Morris County,7457,US,TIGER/Line® dataset from the US Census Bureau
Lauren,Scruggs,Fencing,"Queens, New York",40.654658,-73.841209,1,county,,,,,,NY,Queens County,,US,US Census Bureau
Tatiana,Nazlymov,Fencing,"Bethesda, Maryland",39.00452,-77.1046,1,place,,,,,Bethesda,MD,Montgomery County,20814,US,TIGER/Line® dataset from the US Census Bureau
Magda,Skarbonkiewicz,Fencing,"Portland, Oregon",45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Gerek,Meinhardt,Fencing,"San Francisco, California",37.776646,-122.417481,1,place,,,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Kat,Holmes ,Fencing,"Washington , District of Columbia ",38.911936,-77.016719,1,place,,,,,Washington,DC,District of Columbia,20001,US,TIGER/Line® dataset from the US Census Bureau
Maia ,Weintraub ,Fencing ,"Philadelphia , Pennsylvania",40.001811,-75.11787,1,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
Miles ,Chamley-Watson,Fencing ,"Westiminster , England ",34.54426,-91.96903,1,place,,,,,England,AR,Lonoke County,72046,US,TIGER/Line® dataset from the US Census Bureau
Filip ,Dolegiewicz,Fencing ,"Park Ridge , Illinois",42.037228,-87.843714,1,place,,,,,Park Ridge,IL,Cook County,60068,US,TIGER/Line® dataset from the US Census Bureau
Kelsey ,Bing,Field Hockey,"Houston , Texas ",29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Leah ,Crouse ,Field Hockey,"Virginia Beach , Virginia ",36.844004,-76.12036,1,place,,,,,Virginia Beach,VA,Virginia Beach City,23450,US,TIGER/Line® dataset from the US Census Bureau
Brooke ,DeBerdine,Field Hockey,"Millersville , Pennsylvania ",39.99788,-76.35413,1,place,,,,,Millersville,PA,Lancaster County,17551,US,TIGER/Line® dataset from the US Census Bureau
Emma ,DeBerdine,Field Hockey,"Millersville , Pennsylvania ",39.99788,-76.35413,1,place,,,,,Millersville,PA,Lancaster County,17551,US,TIGER/Line® dataset from the US Census Bureau
Phia ,Gladieux,Field Hockey,"Oley , Pennsylvania ",40.38759,-75.78964,1,place,,,,,Oley,PA,Berks County,19547,US,TIGER/Line® dataset from the US Census Bureau
Amanda ,Golini,Field Hockey,"Randolph , New Jersey ",40.837399,-74.586052,1,place,,,,,Randolph,NJ,Morris County,7869,US,TIGER/Line® dataset from the US Census Bureau
Ally ,Hammel,Field Hockey,"Duxbury , Massachusetts ",41.970474,-70.701357,1,place,,,,,Duxbury,MA,Plymouth County,2331,US,TIGER/Line® dataset from the US Census Bureau
Ashley ,Hoffman,Field Hockey,"Mohnton, Pennsylvania ",40.28593,-75.98438,1,place,,,,,Mohnton,PA,Berks County,19540,US,TIGER/Line® dataset from the US Census Bureau
Karlie ,Kisha,Field Hockey,"Hamburg, Pennsylvania ",40.55565,-75.98188,1,place,,,,,Hamburg,PA,Berks County,19526,US,TIGER/Line® dataset from the US Census Bureau
Kelee,Lepage,Field Hockey,"Honey Brook, Pennsylvania ",40.089561,-75.867533,1,place,,,,,Honey Brook,PA,Chester County,19344,US,TIGER/Line® dataset from the US Census Bureau
Ashley ,Sessa,Field Hockey,"Schwenksville, Pennsylvania ",40.25621,-75.46379,1,place,,,,,Schwenksville,PA,Montgomery County,19473,US,TIGER/Line® dataset from the US Census Bureau
Meredith ,Sholder,Field Hockey,"Fleetwood , Pennsylvania ",40.45398,-75.81798,1,place,,,,,Fleetwood,PA,Berks County,19522,US,TIGER/Line® dataset from the US Census Bureau
Abby ,Tamer,Field Hockey,"Dexter , Michigan ",42.353887,-83.898295,1,place,,,,,Dexter,MI,Washtenaw County,48130,US,TIGER/Line® dataset from the US Census Bureau
Megan ,Valzonis,Field Hockey,"San Diego, California ",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Beth ,Yeager,Field Hockey,"Greenwich, Connecticut",41.042746,-73.62617,1,place,,,,,Greenwich,CT,Western Connecticut Planning Region,6830,US,TIGER/Line® dataset from the US Census Bureau
Maddie ,Zimmer,Field Hockey,"Hershey , Pennsylvania ",40.269748,-76.636357,1,place,,,,,Hershey,PA,Dauphin County,17033,US,TIGER/Line® dataset from the US Census Bureau
Nelly,Korda,Golf,"Bradenton, Florida",27.404731,-82.470456,1,place,,,,,Bradenton,FL,Manatee County,34201,US,TIGER/Line® dataset from the US Census Bureau
Lilia,Vu,Golf,"Fountain Valley , California ",33.710582,-117.951129,1,place,,,,,Fountain Valley,CA,Orange County,92708,US,TIGER/Line® dataset from the US Census Bureau
Rose,Zhang,Golf,"Irvine , California",33.757245,-117.750414,1,place,,,,,Irvine,CA,Orange County,92602,US,TIGER/Line® dataset from the US Census Bureau
Collin ,Morikawa,Golf,"Los Angeles, California",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Scottie ,Scheffler ,Golf ,"Dallas , Texas ",32.781179,-96.790329,1,place,,,,,Dallas,TX,Dallas County,75201,US,TIGER/Line® dataset from the US Census Bureau
Wyndham,Clark,Golf,"Denver , Colorado",39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Xander,Schauffele,Golf,"San Diego, California",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Angelica ,Delgado,Judo ,"Miami , Florida ",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Evita,Griskenas,Rhythmic Gymnastics,"Orland Park, Illinois",41.625307,-87.83293,1,place,,,,,Orland Park,IL,Cook County,60462,US,TIGER/Line® dataset from the US Census Bureau
Kara,Kohler,Rowing,"Clayton, California",37.897832,-121.784818,1,place,,,,,Clayton,CA,Contra Costa County,94517,US,TIGER/Line® dataset from the US Census Bureau
William,Bender,Rowing,"Norwich, Vermont",43.717918,-72.3612,1,place,,,,,Norwich,VT,Windsor County,5055,US,TIGER/Line® dataset from the US Census Bureau
Charlotte ,Buck,Rowing,"Nyack, New York",41.080474,-73.930179,1,place,,,,,Nyack,NY,Rockland County,10960,US,TIGER/Line® dataset from the US Census Bureau
Molly,Bruggeman,Rowing,"Dayton, Ohio",39.750471,-84.268593,1,place,,,,,Dayton,OH,Montgomery County,45401,US,TIGER/Line® dataset from the US Census Bureau
Nina,Casatagna,Rowing,"Cincinnati, Ohio",39.166759,-84.53822,1,place,,,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau
Olivia,Coffey,Rowing,"Watkins Glen, New York",42.37285,-76.927135,1,place,,,,,Watkins Glen,NY,Schuyler County,14891,US,TIGER/Line® dataset from the US Census Bureau
Claire,Collins,Rowing,"McLean, Virginia",38.935202,-77.18672,1,place,,,,,Mc Lean,VA,Fairfax County,22101,US,TIGER/Line® dataset from the US Census Bureau
Emily,Kallfelz,Rowing,"Jamestown, Rhode Island",41.51412,-71.377247,1,place,,,,,Jamestown,RI,Newport County,2835,US,TIGER/Line® dataset from the US Census Bureau
Kaitlin,Knifton,Rowing,"Austin, Texas",30.268335,-97.741382,1,place,,,,,Austin,TX,Travis County,78701,US,TIGER/Line® dataset from the US Census Bureau
Meghan,Musnicki,Rowing,"Naples, New York",42.667802,-77.413496,1,place,,,,,Naples,NY,Ontario County,14512,US,TIGER/Line® dataset from the US Census Bureau
Molly,Reckford,Rowing,"Short Hills, New Jersey",40.74055,-74.334443,1,place,,,,,Short Hills,NJ,Essex County,7078,US,TIGER/Line® dataset from the US Census Bureau
Regina,Salmons,Rowing,"Methuen, Massachusetts",42.73184,-71.186915,1,place,,,,,Methuen,MA,Essex County,1844,US,TIGER/Line® dataset from the US Census Bureau
Michelle,Sechser ,Rowing,"Folsom, California",38.666597,-121.141636,1,place,,,,,Folsom,CA,Sacramento County,95630,US,TIGER/Line® dataset from the US Census Bureau
Kristi,Wagner,Rowing,"Weston, Massachusetts",42.360502,-71.303434,1,place,,,,,Weston,MA,Middlesex County,2493,US,TIGER/Line® dataset from the US Census Bureau
Madeleine ,Wanamaker,Rowing,"Neenah, Wisconsin",44.182337,-88.527574,1,place,,,,,Neenah,WI,Winnebago County,54956,US,TIGER/Line® dataset from the US Census Bureau
Justin,Best,Rowing,"Kennett Square, Pennsylvania",39.867864,-75.716333,1,place,,,,,Kennett Square,PA,Chester County,19348,US,TIGER/Line® dataset from the US Census Bureau
Liam,Corrigan,Rowing,"Old Lyme, Connecticut",41.31593,-72.32897,1,place,,,,,Old Lyme,CT,Lower Connecticut River Valley Planning Region,6371,US,TIGER/Line® dataset from the US Census Bureau
Michael,Grady,Rowing,"Pittsburgh, Pennsylvania",40.47441,-79.950968,1,place,,,,,Pittsburgh,PA,Allegheny County,15201,US,TIGER/Line® dataset from the US Census Bureau
Jacob ,Plihal,Rowing ,"Seattle , Washington",47.610902,-122.336422,1,place,,,,,Seattle,WA,King County,98101,US,TIGER/Line® dataset from the US Census Bureau
Sorin,Koszyk,Rowing ,"Grosse Point Park , Michigan ",42.382395,-82.921842,1,place,,,,,Grosse Pointe,MI,Wayne County,48230,US,TIGER/Line® dataset from the US Census Bureau
Clark ,Dean,Rowing ,"Sarasota, Florida",27.335023,-82.537169,1,place,,,,,Sarasota,FL,Sarasota County,34230,US,TIGER/Line® dataset from the US Census Bureau
Pieter,Quinton,Rowing ,"Portland, Oregon",45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Jessia ,Thoennes,Rowing ,"Madison , Wisconsin",43.060926,-88.230636,1,place,,,,,Madison,WI,Waukesha County,53702,US,TIGER/Line® dataset from the US Census Bureau
Kayla ,Canett,Rugby ,"Fallbrook , California ",33.390477,-117.209427,1,place,,,,,Fallbrook,CA,San Diego County,92028,US,TIGER/Line® dataset from the US Census Bureau
Lauren ,Doyle,Rugby ,"Boody , Illinois ",39.76643,-89.04924,1,place,,,,,Boody,IL,Macon County,62514,US,TIGER/Line® dataset from the US Census Bureau
Alev ,Kelter,Rugby ,"Eagleriver , Arkansas ",34.895526,-92.444626,1,state,,,,,,AR,,,US,TIGER/Line® dataset from the US Census Bureau
Sarah,Levy,Rugby ,"San Diego , California ",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Ilona ,Maher,Rugby ,"Burlington , Vermont ",44.476622,-73.209998,1,place,,,,,Burlington,VT,Chittenden County,5401,US,TIGER/Line® dataset from the US Census Bureau
Alena ,Olsen,Rugby ,"Grand Rapids , Michigan ",42.956176,-85.660693,1,place,,,,,Grand Rapids,MI,Kent County,49503,US,TIGER/Line® dataset from the US Census Bureau
Ariana,Ramsey,Rugby ,"Bridgeport , Pennsylvania",40.103552,-75.341022,1,place,,,,,Bridgeport,PA,Montgomery County,19405,US,TIGER/Line® dataset from the US Census Bureau
Steph ,Rovetti,Rugby ,"Reno, Nevada",39.525749,-119.813051,1,place,,,,,Reno,NV,Washoe County,89501,US,TIGER/Line® dataset from the US Census Bureau
Spiff ,Sedrick,Rugby ,"Salt Lake City, Utah",40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Sammy ,Sullivan,Rugby ,"Fayetteville, North Carolina",35.0748,-78.884257,1,place,,,,,Fayetteville,NC,Cumberland County,28301,US,TIGER/Line® dataset from the US Census Bureau
Naya,Tapper,Rugby,"Charlotte, North Carolina",35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Daniela,Moroz,Sailing,"San Francisco Bay Area, California",37.776646,-122.417481,1,place,,,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Lara,Dallman-Weiss,Sailing,"Miami, Florida",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Erika,Reineke,Sailing,"Fort Lauderdale, Florida",26.121323,-80.127909,1,place,,,,,Fort Lauderdale,FL,Broward County,33301,US,TIGER/Line® dataset from the US Census Bureau
